Date,Open,High,Low,Close,Adj Close,Volume
2018-06-25,679.919983,689.400024,668.710022,678.460022,678.460022,317800
2018-06-26,678.640015,681.580017,669.520020,675.349976,675.349976,267200
2018-06-27,681.000000,682.500000,667.510010,669.219971,669.219971,233400
2018-06-28,669.820007,687.390015,663.700012,678.440002,678.440002,250800
2018-06-29,678.880005,681.000000,670.440002,670.929993,670.929993,230900
2018-07-02,664.960022,669.580017,662.169983,667.809998,667.809998,317000
2018-07-03,671.289978,684.580017,670.840027,673.510010,673.510010,143400
2018-07-05,674.039978,676.559998,665.450012,675.940002,675.940002,144100
2018-07-06,677.109985,683.799988,673.840027,681.859985,681.859985,145700
2018-07-09,683.119995,692.280029,681.989990,690.619995,690.619995,218000
2018-07-10,690.340027,693.520020,685.409973,692.679993,692.679993,176900
2018-07-11,685.500000,685.500000,676.469971,681.460022,681.460022,278600
2018-07-12,686.020020,687.659973,678.659973,686.979980,686.979980,169300
2018-07-13,685.820007,694.369995,685.820007,686.969971,686.969971,208800
2018-07-16,686.900024,694.119995,680.400024,692.780029,692.780029,178900
2018-07-17,690.840027,702.780029,690.059998,699.940002,699.940002,194700
2018-07-18,699.950012,699.950012,689.940002,694.000000,694.000000,203300
2018-07-19,694.640015,720.520020,694.640015,716.169983,716.169983,331200
2018-07-20,713.729980,717.489990,710.469971,714.349976,714.349976,326200
2018-07-23,713.369995,720.890015,713.369995,714.780029,714.780029,219100
2018-07-24,717.900024,718.799988,702.119995,705.289978,705.289978,213000
2018-07-25,705.020020,707.030029,698.260010,705.719971,705.719971,272500
2018-07-26,709.090027,724.539978,703.450012,711.140015,711.140015,231300
2018-07-27,712.799988,712.799988,693.150024,699.780029,699.780029,249300
2018-07-30,696.820007,702.000000,692.210022,698.460022,698.460022,190500
2018-07-31,699.140015,707.030029,694.309998,705.530029,705.530029,183600
2018-08-01,708.239990,711.659973,699.469971,701.299988,701.299988,250200
2018-08-02,700.909973,719.349976,698.330017,719.080017,719.080017,198700
2018-08-03,718.250000,723.200012,713.440002,721.380005,721.380005,225400
2018-08-06,719.570007,728.150024,715.619995,725.380005,725.380005,225800
2018-08-07,728.479980,731.280029,722.830017,729.909973,729.909973,172700
2018-08-08,731.590027,738.099976,728.419983,732.789978,732.789978,171200
2018-08-09,733.590027,739.489990,726.479980,736.289978,736.289978,176300
2018-08-10,734.849976,741.099976,722.000000,738.960022,738.960022,253000
2018-08-13,739.500000,741.750000,728.429993,729.409973,729.409973,199300
2018-08-14,740.020020,767.960022,740.020020,754.869995,754.869995,380000
2018-08-15,756.000000,762.289978,746.619995,752.010010,752.010010,309800
2018-08-16,757.299988,767.820007,748.530029,762.739990,762.739990,303600
